Version, Version Name, Name, LOCs, Churn, Age, Weighted Age, Number of Authors, Revisions, LOC Touched, LOC Added, Number of Fix, Buggy
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,98,98,0,0,2,2,98,98,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,137,137,0,0,2,4,137,137,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,30,30,0,0,2,2,30,30,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,49,49,0,0,2,2,49,49,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,52,52,0,0,1,1,52,52,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,106,106,0,0,2,4,106,106,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,63,63,0,0,2,2,63,63,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,72,72,0,0,2,3,72,72,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,61,61,0,0,1,1,61,61,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,42,42,0,0,2,2,42,42,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,52,52,0,0,2,2,52,52,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,62,62,0,0,2,3,62,62,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,166,166,0,0,2,4,166,166,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,44,44,0,0,1,1,44,44,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,386,386,0,0,2,4,386,386,1,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,33,33,0,0,1,1,33,33,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,66,66,0,0,2,2,66,66,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,54,54,0,0,2,2,54,54,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,28,28,0,0,2,2,28,28,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,52,52,0,0,2,2,52,52,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,96,96,0,0,2,2,96,96,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,28,28,0,0,1,1,28,28,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,195,195,0,0,2,3,195,195,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,167,167,0,0,3,4,167,167,1,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,69,69,0,0,2,2,69,69,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,24,24,0,0,1,1,24,24,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,44,44,0,0,2,2,44,44,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,374,374,0,0,2,3,374,374,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,79,79,0,0,2,2,79,79,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,30,30,0,0,1,1,30,30,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,84,84,0,0,2,2,84,84,0,false,
